,Star,Filename,Ic,cog,Bzwidth min,Bzwidth max,V bz (G),V bz sig (G),V FAP,N1 bz (G),N1 bz sig (G),N1 FAP,N2 bz (G),N2 bz sig (G),N2 FAP
0,HD1,SampleLSD.s,0.99703,53.3592394550717,23.3592394550717,83.3592394550717,9.410499747294118,0.8805572114938446,0.0,-0.192053591542427,0.8631324490938416,0.7660806567080096,0.0,0.0,0.0
1,HD2,SampleLSD2.s,0.99529,22.391082084880864,-7.608917915119136,52.391082084880864,3.366458438213908,2.2348802907692082,0.003250268499828124,0.69331044158788,2.2348366492401057,0.9652103900644635,0.0,0.0,0.0
