Observation,Filename,V bz (G),V bz sig (G),V FAP,N1 bz (G),N1 bz sig (G),N1 FAP,N2 bz (G),N2 bz sig (G),N2 FAP,norm_method,norm,cog_method,cog,int. range start,int. range end
star 1,CalculateBz_tutorialfiles/SampleLSD.lsd,94.58494375048473,6.278508409,0,4.8487271807994885,6.148770593436641,0.761063094,0,0,0,auto,0.99681,I,53.61794396253215,28.617943962532152,78.61794396253215
star 2,CalculateBz_tutorialfiles/SampleLSD2.lsd,32.11198955819337,10.56234263434344,0.002714415,-0.484883173,10.561598974678411,0.8457819737016565,0,0,0,auto,0.99523,I,22.42858710351503,2.4285871035150315,42.42858710351503
